0,1000000000,1500000000,2000000000,2500000000,3000000000
2,7.937697,12.010994,16.035969,20.069712,24.023297,
4,4.201871,6.273204,9.026807,11.296422,13.512211,
8,2.850620,4.262993,5.704362,7.176301,8.594158,
16,1.840342,2.786843,3.713529,4.664697,5.577272,
32,1.791473,2.493045,3.343270,4.216909,5.013002,
2,8.036249,12.130462,15.957034,20.372994,25.695002,
4,5.083064,7.622848,9.926276,12.418246,14.785399,
8,3.031758,4.666637,6.132842,7.639177,9.216960,
16,1.970028,2.994438,3.986712,5.061041,5.941682,
32,2.046058,3.059251,4.065534,5.107279,6.107504,
2,8.642848,12.913440,17.321597,21.473126,25.707312,
4,5.042058,7.511834,10.155693,12.585050,15.001714,
8,3.125136,4.641543,6.206680,7.716830,9.230960,
16,1.968813,2.976559,3.995639,4.998778,5.955223,
32,1.990091,3.074310,3.940266,4.983371,5.969933,
2,8.541493,12.819117,17.156224,21.518314,25.777546,
4,5.076574,7.624890,10.131956,12.690827,15.106583,
8,3.079251,4.626742,6.038246,7.619921,9.126811,
16,1.950235,2.984368,3.942096,4.969772,5.915254,
32,1.943623,2.943160,4.061799,4.844197,5.845170,
2,8.502010,12.415614,16.782193,21.611847,25.464547,
4,4.456870,6.837186,9.086643,11.201673,13.608193,
8,2.936914,4.399462,5.690014,7.158214,8.601653,
16,1.866774,2.777272,3.724109,4.616198,5.566927,
32,1.757134,2.583798,3.318599,4.287209,5.069363,
2,8.016183,11.999835,16.107402,20.081254,24.052563,
4,4.280327,6.372575,9.056463,11.314738,13.560131,
8,2.847055,4.294313,5.751382,7.228981,8.732206,
16,1.823011,2.805006,3.701797,4.613119,5.534531,
32,1.761570,2.515595,3.468664,4.366424,5.039113,
2,7.966311,12.039518,16.065067,20.026201,24.027299,
4,4.213473,6.404984,9.051698,11.444964,13.420361,
8,2.930977,4.343164,5.765928,7.082512,8.497447,
16,1.836639,2.828352,3.722118,4.656181,5.590550,
32,1.744477,2.567288,3.500572,4.171006,5.186973,
2,8.104884,12.199489,16.078325,20.148638,24.360388,
4,4.309035,6.498433,9.118498,11.459940,13.632249,
8,2.977062,4.319518,5.750099,7.180165,8.566999,
16,1.880450,2.841207,3.767551,4.671173,5.610475,
32,1.779986,2.518102,3.546383,4.308493,5.022318,
2,8.050797,12.051569,16.126437,20.112670,24.111347,
4,4.314106,6.579985,9.229506,11.521002,14.029657,
8,2.978883,4.407107,5.811014,7.155273,8.564664,
16,1.855656,2.816848,3.779155,4.683867,5.676832,
32,1.761135,2.759521,3.453071,4.254402,5.054132,
2,8.059795,12.104237,16.061859,20.121703,23.912820,
4,4.354517,6.321081,8.948011,11.413752,13.496777,
8,2.880844,4.307344,5.751603,7.100127,8.589262,
16,1.843385,2.791887,3.748705,4.645426,5.560150,
32,1.742402,2.617319,3.360811,4.218867,5.049391,
2,7.991443,11.996723,16.027638,20.004059,23.990785,
4,4.237516,6.408412,9.071649,11.217351,13.499710,
8,2.900248,4.302690,5.684306,7.163983,8.505999,
16,1.862399,2.778028,3.696074,4.688441,5.539411,
32,1.763472,2.572649,3.444925,4.187738,4.995067,
2,8.059321,12.020402,15.945887,20.130210,24.062265,
4,4.299422,7.174408,9.120881,11.223137,13.645648,
8,2.884423,4.435395,5.763360,7.081424,8.574130,
16,1.872068,2.819072,3.701101,4.650386,5.558320,
32,1.778767,2.578108,3.356353,4.173577,5.055047,
2,8.008222,12.058493,16.043134,20.047543,24.080488,
4,4.179714,6.362987,8.864633,11.226837,13.511699,
8,2.900358,4.342961,5.732832,7.195691,8.617954,
16,1.847956,2.797793,3.704660,4.654707,5.565330,
32,1.769056,2.538815,3.380629,4.288728,4.970407,
2,8.072703,12.073076,16.034804,20.067501,24.194898,
4,4.214565,6.504647,9.017063,11.144475,13.605900,
8,2.883718,4.283754,5.741214,7.202368,8.671310,
16,1.819971,2.766673,3.681141,4.626470,5.563110,
32,1.779304,2.565356,3.294539,4.288277,4.980868,
2,8.021855,12.004770,16.083000,20.202468,24.345968,
4,4.244114,6.604664,8.973641,11.359955,13.983881,
8,3.041174,4.423794,5.849571,7.197504,8.657967,
16,1.846553,2.799728,3.768332,4.619596,5.551102,
32,1.770387,2.618789,3.342092,4.163967,5.166221,
2,7.984810,11.908006,16.001576,20.052055,24.100583,
4,4.192182,6.322007,8.989453,11.257470,13.568449,
8,2.869346,4.291099,5.713757,7.112299,8.558525,
16,1.841651,2.792557,3.721297,4.660025,5.567861,
32,1.772298,2.606004,3.397130,4.205777,5.103406,
2,7.993772,12.002283,16.041961,20.073111,24.088927,
4,4.201924,6.368971,8.908923,11.358088,13.511188,
8,2.879023,4.364895,5.767021,7.270540,8.600630,
16,1.835097,2.797838,3.702411,4.627091,5.578961,
32,1.760914,2.545828,3.393431,4.212797,5.095058,
2,7.979225,12.046080,15.980709,20.074854,24.018078,
4,4.201488,6.423331,8.785491,11.212438,13.406213,
8,2.828627,4.335904,5.826864,7.178261,8.555102,
16,1.863539,2.778655,3.737446,4.641291,5.558678,
32,1.733574,2.660995,3.443418,4.202531,4.972838,
2,8.013538,12.025534,16.026844,20.030330,24.097266,
4,4.257056,6.389994,8.880854,11.226367,13.536854,
8,2.882189,4.370898,5.851578,7.195770,8.688018,
16,1.837523,2.779068,3.689348,4.615866,5.550838,
32,1.754098,2.567358,3.421677,4.176604,4.962954,
2,8.018657,12.063303,15.999200,20.032481,24.059056,
4,4.214164,6.481822,8.844785,11.376387,13.471885,
8,2.852315,4.324463,5.726701,7.171945,8.627994,
16,1.798882,2.790928,3.716721,4.603656,5.572011,
32,1.741449,2.598459,3.392644,4.261357,4.988012,
2,8.014591,12.055334,16.002354,19.971328,24.085562,
4,4.216296,6.372940,8.839326,11.273182,13.630427,
8,2.871144,4.318967,5.757931,7.205525,8.683429,
16,1.859447,2.776609,3.709961,4.607606,5.533101,
32,1.708593,2.660329,3.406399,4.220044,5.148736,
2,8.044975,12.041007,16.065402,20.064377,24.042480,
4,4.203139,6.325244,8.931791,11.153413,13.540966,
8,2.883865,4.301853,5.701655,7.225409,8.532950,
16,1.841881,2.784889,3.703855,4.621774,5.547222,
32,1.731356,2.608051,3.357694,4.187763,5.091845,
2,8.011771,12.039991,16.023036,20.031172,24.066954,
4,4.284454,6.365221,8.933369,11.293816,13.702398,
8,2.844151,4.412544,5.738424,7.176006,8.538923,
16,1.850651,2.759063,3.742928,4.621093,5.545515,
32,1.743801,2.607415,3.354531,4.172899,5.147141,
2,7.991893,11.985872,16.057796,20.136552,23.981137,
4,4.210244,6.346349,8.929443,11.291527,13.551949,
8,2.927847,4.315168,5.773863,7.257905,8.632271,
16,1.821314,2.778259,3.746686,4.659768,5.527229,
32,1.790858,2.509249,3.308669,4.233198,4.968044,
2,8.038585,12.063494,16.096354,20.211409,24.140751,
4,4.213022,6.401012,8.921016,11.197281,13.557757,
8,2.939185,4.288113,5.771026,7.142681,8.731004,
16,1.843639,2.804800,3.686952,4.625216,5.553619,
32,1.868192,2.705447,3.528019,4.415993,5.826982,
2,7.990766,12.024605,16.037170,20.011780,24.071709,
4,4.196444,6.494023,9.003747,11.445612,13.550256,
8,2.951950,4.326966,6.589215,7.329087,8.659985,
16,1.876364,2.900613,3.765902,4.739134,5.675212,
32,1.833094,2.693123,3.555881,4.211758,5.131910,
2,8.117224,12.262020,16.456031,20.185244,24.000823,
4,4.132729,6.445119,9.149328,11.632450,13.713565,
8,2.866121,4.353831,5.697276,7.074302,8.537832,
16,1.845492,2.793427,3.687040,4.653163,5.613637,
32,1.726934,2.603144,3.424742,4.227697,5.020182,
2,7.981559,12.014914,15.901552,19.913012,24.019470,
4,4.352521,6.417152,8.885297,11.235455,13.464682,
8,2.848193,4.269525,5.655761,7.147665,8.552064,
16,1.844488,2.780701,3.713419,4.624698,5.551372,
32,1.766295,2.555748,3.479600,4.268992,4.992364,
2,8.080957,12.214111,16.082515,20.150536,24.156167,
4,4.230507,6.344196,8.953103,11.337981,13.518285,
8,2.869276,4.270043,5.849635,7.096183,8.638678,
16,1.859416,2.770326,3.725019,4.669285,5.555161,
32,1.745316,2.644818,3.332919,4.227005,5.052020,
2,8.113140,12.035411,16.149223,20.047107,24.414739,
4,4.262770,6.432129,9.041990,11.385791,13.647455,
8,2.859460,4.433053,5.715104,7.140140,8.477493,
16,1.837979,2.785940,3.684013,4.611417,5.554990,
32,1.743659,2.573101,3.366368,4.257647,5.027890,
