0,1000000000,1500000000,2000000000,2500000000,3000000000
2,1.151040,1.723997,2.475111,2.890516,3.507330,
4,0.624630,0.924142,1.472153,1.641025,1.998950,
8,0.421016,0.635642,0.813841,1.043080,1.203055,
16,0.259079,0.392262,0.538988,0.664424,0.784471,
32,0.249919,0.380901,0.497531,0.622773,0.731936,
2,1.153446,1.755734,2.315899,2.864602,3.426388,
4,0.676523,0.930259,1.465818,1.696049,1.913524,
8,0.443006,0.644016,0.836344,1.021284,1.246575,
16,0.261489,0.394971,0.523953,0.653345,0.785202,
32,0.263158,0.391263,0.519805,0.630182,0.780249,
2,1.127440,1.747585,2.290449,2.855725,3.506182,
4,0.641739,1.048886,1.299917,1.676729,2.083462,
8,0.441750,0.627011,0.865859,1.016733,1.207470,
16,0.261728,0.415067,0.575345,0.712678,0.859693,
32,0.287726,0.416193,0.559217,0.689061,0.841565,
2,1.158439,1.727041,2.340154,2.868783,3.478054,
4,0.762822,1.001641,1.371974,1.732998,2.037371,
8,0.447121,0.681690,0.869608,1.129400,1.347012,
16,0.275102,0.428891,0.569210,0.717369,0.859119,
32,0.285256,0.422100,0.564369,0.703844,0.864225,
2,1.136130,1.738348,2.311150,2.933963,3.420562,
4,0.681809,0.997181,1.385043,1.660161,2.005263,
8,0.436753,0.693708,0.894261,1.078197,1.362862,
16,0.275303,0.426037,0.570735,0.708355,0.861818,
32,0.285008,0.408480,0.543645,0.689271,0.831956,
2,1.197623,1.740497,2.351429,2.845593,3.514362,
4,0.667342,1.142613,1.416451,1.569811,2.094017,
8,0.438879,0.689793,0.936470,1.099603,1.327889,
16,0.272402,0.445433,0.567136,0.713680,0.855301,
32,0.272153,0.421833,0.559616,0.683748,0.829706,
2,1.198326,1.711989,2.284658,2.888811,3.607485,
4,0.746478,1.059366,1.332961,1.676838,2.063619,
8,0.471555,0.704842,0.877704,1.060384,1.308167,
16,0.275671,0.427104,0.574918,0.724738,0.859335,
32,0.285721,0.415039,0.569631,0.696541,0.820382,
2,1.150495,1.700252,2.374588,3.432418,3.767512,
4,0.672260,1.056044,1.331447,1.714256,2.100454,
8,0.454225,0.665879,0.874189,1.108439,1.359219,
16,0.282251,0.425235,0.622517,0.734393,0.900893,
32,0.341809,0.470695,0.638143,0.719543,0.826628,
2,1.186573,1.831705,2.420994,2.967688,3.674700,
4,0.676830,0.976673,1.411235,1.718395,2.065529,
8,0.446964,0.674528,0.864433,1.058413,1.386328,
16,0.280288,0.453835,0.623610,0.719487,0.863726,
32,0.292591,0.410619,0.557512,0.723434,0.835912,
2,1.232247,1.808977,2.385153,3.131189,3.597289,
4,0.653959,1.043136,1.363237,1.793661,1.974536,
8,0.473882,0.701477,1.015024,1.125482,1.367914,
16,0.334927,0.565528,0.754718,0.825116,0.926875,
32,0.297858,0.513003,0.772858,0.965142,0.967654,
2,1.377805,2.224395,2.554545,3.419371,3.586908,
4,0.641697,1.069334,1.298896,1.742769,2.200957,
8,0.443337,0.694019,0.908614,1.087108,1.298578,
16,0.283320,0.450688,0.583933,0.735941,0.931990,
32,0.287014,0.407690,0.547693,0.700043,0.836600,
2,1.206685,1.826630,2.457470,2.965664,3.561623,
4,0.669058,0.990094,1.381745,1.684405,2.132023,
8,0.424024,0.640311,0.859801,1.079319,1.294311,
16,0.265948,0.419907,0.548691,0.706460,0.832542,
32,0.272997,0.394383,0.566595,0.693329,0.788615,
